ID	Assessment	Class	Group_Number	Group	Subgroup	Scope	Severity	Irreversibility	Criticality_20_years_ago	Overall_criticality	Trend_of_change_(of_current_criticality)	Criticality_in_the_next_20_years	Systemic_activity_(level_of_activity)	Systemic_activity_(no._of_influenced_elements)	Systemic_Activity	Strategic_Relevance_(Value)	Strategic_Relevance_(Rank)	Manageability	Knowledge	Rank	Region	Climate	Human_Development_Index
1	CN-NAF	Factor	9	Socio-economic_factors	NA	3	3	4	1	4	4	3	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
2	CN-NAF	Factor	8	Socio-cultural_factors	NA	3	2	3	3	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
3	CN-NAF	Factor	6	Natural_factors	NA	4	2	4	1	4	3	3	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
4	CN-NAF	Factor	7	Natural_resource-use_related_factors	NA	4	2	4	3	4	1	1	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
5	CN-NAF	Factor	4	Infrastructure-related_factors	NA	3	3	4	1	4	4	3	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
6	CN-NAF	Factor	9	Socio-economic_factors	NA	1	2	1	3	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
7	CN-NAJ	Factor	1	Demographic_factors	NA	4	3	4	1	4	3	4	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
8	CN-NAJ	Factor	4	Infrastructure-related_factors	NA	4	4	4	1	4	3	4	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
9	CN-NAJ	Factor	6	Natural_factors	NA	4	2	4	1	4	3	3	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
10	CN-NAJ	Factor	4	Infrastructure-related_factors	NA	4	1	3	1	3	3	3	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
11	CN-NAJ	Factor	4	Infrastructure-related_factors	NA	4	2	4	1	4	3	4	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
12	CN-NAJ	Factor	7	Natural_resource-use_related_factors	NA	4	2	4	3	4	1	1	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
13	CN-NAJ	Factor	3	Industrial_production-related_factors	NA	4	2	3	1	3	3	3	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
14	CN-NAJ	Factor	7	Natural_resource-use_related_factors	NA	4	1	1	1	2	2	3	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
15	CN-NAJ	Factor	7	Natural_resource-use_related_factors	NA	4	1	3	1	3	3	4	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
16	CN-JIU	Factor	2	Governance-related_factors	NA	1	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
17	CN-JIU	Factor	8	Socio-cultural_factors	NA	1	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
18	CN-JIU	Factor	8	Socio-cultural_factors	NA	2	3	3	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
19	CN-JIU	Factor	5	Institutional_factors	NA	3	2	2	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
20	CN-JIU	Factor	5	Institutional_factors	NA	3	3	3	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
21	CN-JIU	Factor	5	Institutional_factors	NA	3	3	3	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
22	CN-JIU	Factor	5	Institutional_factors	NA	4	4	4	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
23	CN-JIU	Factor	5	Institutional_factors	NA	4	4	4	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
24	CN-JIU	Factor	10	Spatial_factors	NA	2	2	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
25	CN-JIU	Factor	10	Spatial_factors	NA	1	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
26	CN-JIU	Factor	10	Spatial_factors	NA	2	2	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
27	CN-JIU	Factor	10	Spatial_factors	NA	3	3	3	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
28	CN-JIU	Factor	9	Socio-economic_factors	NA	2	2	2	1	2	3	4	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
29	CN-JIU	Factor	9	Socio-economic_factors	NA	3	3	3	1	3	3	4	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
30	CN-JIU	Factor	1	Demographic_factors	NA	1	1	1	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
31	CN-JIU	Factor	4	Infrastructure-related_factors	NA	2	1	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
32	CN-JIU	Factor	4	Infrastructure-related_factors	NA	3	4	4	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
33	CN-JIU	Factor	7	Natural_resource-use_related_factors	NA	2	1	3	1	3	3	3	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
34	CN-JIU	Factor	9	Socio-economic_factors	NA	2	1	2	NA	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
35	CN-JIU	Factor	7	Natural_resource-use_related_factors	NA	1	2	1	3	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
36	CN-JIU	Factor	7	Natural_resource-use_related_factors	NA	3	2	2	1	3	3	4	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
